Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
1;1771959579505,406243;5;0;0
2;1771959579568,262843;5;0;0
3;1771959579630,359543;5;0;0
4;1771959579693,042043;5;0;0
5;1771959579755,476343;5;0;0
6;1771959579817,476243;5;0;0
7;1771959579880,849643;5;0;0
8;1771959579943,574843;5;0;0
9;1771959580005,441643;5;0;0
10;1771959580067,678243;5;0;0
11;1771959580130,443943;5;0;0
12;1771959580193,195843;5;0;0
13;1771959580256,065943;5;0;0
14;1771959580318,114343;5;0;0
15;1771959580381,372443;5;0;0
16;1771959580443,422543;5;0;0
17;1771959580506,244243;5;0;0
18;1771959580568,319943;5;0;0
19;1771959580632,261843;5;0;0
20;1771959580702,175843;5;0;0
21;1771959580756,703343;5;0;0
22;1771959580818,698643;5;0;0
23;1771959580881,421443;5;0;0
24;1771959580946,073743;5;0;0
25;1771959581008,797243;5;0;0
26;1771959581070,659443;5;0;0
27;1771959581132,561343;5;0;0
28;1771959581197,654443;5;0;0
29;1771959581274,126943;5;0;0
30;1771959581321,749943;5;0;0
31;1771959581382,999143;5;0;0
32;1771959581446,038043;5;0;0
33;1771959581508,178543;5;0;0
34;1771959581571,475043;5;0;0
35;1771959581632,854443;5;0;0
36;1771959581695,993843;5;0;0
37;1771959581758,667343;5;0;0
38;1771959581821,831643;5;0;0
39;1771959581883,403643;5;0;0
40;1771959581946,590643;5;0;0
41;1771959582009,434143;5;0;0
42;1771959582071,841843;5;0;0
43;1771959582133,923043;5;0;0
44;1771959582198,979943;5;0;0
45;1771959582259,713943;5;0;0
46;1771959582322,398043;5;0;0
47;1771959582384,616043;5;0;0
48;1771959582448,021643;5;0;0
49;1771959582509,958643;5;0;0
50;1771959582571,861343;5;0;0
51;1771959582634,273043;5;0;0
52;1771959582698,716143;5;0;0
53;1771959582760,141043;5;0;0
54;1771959582822,085243;5;0;0
55;1771959582885,441443;5;0;0
56;1771959582948,120743;5;0;0
57;1771959583010,139743;5;0;0
58;1771959583073,275443;5;0;0
59;1771959583134,805943;5;0;0
60;1771959583197,634443;5;0;0
61;1771959583260,358543;5;0;0
62;1771959583322,896643;5;0;0
63;1771959583385,237943;5;0;0
64;1771959583448,039143;5;0;0
65;1771959583511,048943;5;0;1,26605442878861E-15
66;1771959583572,998143;5;0;1,55260179712791E-11
67;1771959583635,453843;5;0;9,06227537456061E-09
68;1771959583698,528643;5;0;9,73800752035459E-07
69;1771959583761,405043;5;0;3,32643176079728E-05
70;1771959583823,365143;5;0;0,000476570596219972
71;1771959583886,018543;5;0;0,0033325410913676
72;1771959583952,268643;5;0;0,00691805873066187
73;1771959584014,329443;5;0;0,0220192335546017
74;1771959584076,652843;5;0;0,0280180741101503
75;1771959584139,099143;5;0;0,0237093903124332
76;1771959584201,613943;5;0;0,0180446170270443
77;1771959584264,324743;5;0;0,0230470653623343
78;1771959584326,815843;5;0;0,0286999177187681
79;1771959584389,718843;5;0;0,0354899391531944
80;1771959584452,278443;5;0;0,0438486486673355
81;1771959584514,530243;5;0;0,043635681271553
82;1771959584577,363243;5;0;0,0361268855631351
83;1771959584639,942443;5;0;0,0360847972333431
84;1771959584702,199943;5;0;0,0406337305903435
85;1771959584764,912743;5;0;0,0403284505009651
86;1771959584827,807643;5;0;0,0411727242171764
87;1771959584889,970043;5;5,383736648188E-16;0,0422982759773731
88;1771959584952,769143;5;1,04210111134991E-13;0,0451907142996788
89;1771959585015,147143;5;9,83215462171949E-13;0,0459991134703159
90;1771959585077,848043;5;5,21591381197339E-11;0,0464541576802731
91;1771959585140,332443;5;1,54018942044587E-09;0,0493644848465919
92;1771959585203,457343;5;2,79744920561598E-08;0,0513083636760712
93;1771959585265,783443;5;3,35947134999515E-07;0,0552935004234314
94;1771959585327,989743;5;2,81585266748152E-06;0,05807089433074
95;1771959585391,821343;5;1,71554365806514E-05;0,0612900033593178
96;1771959585453,304443;5;7,82832576078363E-05;0,0669524520635605
97;1771959585515,704943;5;0,000151101528899744;0,0682810395956039
98;1771959585578,326643;5;0,000464207754703239;0,0681830272078514
99;1771959585640,889343;5;0,00111241918057203;0,0670102685689926
100;1771959585703,172343;5;0,00208773161284626;0,0678979456424713
101;1771959585766,319243;5;0,00304135587066412;0,0700330957770348
102;1771959585829,540943;5;0,00337372836656868;0,0767971128225327
103;1771959585892,374743;5;0,00290375901386142;0,0804918855428696
104;1771959585954,240843;5;0,00241201254539192;0,0771341100335121
105;1771959586016,126943;5;0,00239005894400179;0,0764081180095673
106;1771959586078,896643;5;0,0036088761407882;0,0776869580149651
107;1771959586141,734643;5;0,00488204415887594;0,0787509679794312
108;1771959586203,742043;5;0,00601196615025401;0,0816591829061508
109;1771959586266,931143;5;0,00561814289540052;0,0842560455203056
110;1771959586328,981743;5;0,00470850337296724;0,0873409360647202
111;1771959586391,440743;5;0,00429628696292639;0,0856636464595795
112;1771959586454,126843;5;0,00495030824095011;0,0909412652254105
113;1771959586516,655343;5;0,00550426123663783;0,0927465707063675
114;1771959586579,091243;5;0,00617792690172791;0,0934834554791451
115;1771959586641,708643;5;0,00621958216652274;0,0959037840366364
116;1771959586704,441443;5;0,00612289225682616;0,0973241031169891
117;1771959586767,351243;5;0,00642970902845263;0,100504599511623
118;1771959586829,884343;5;0,00676951697096229;0,1034961566329
119;1771959586893,718543;5;0,00735439406707883;0,103936105966568
120;1771959586955,982443;5;0,0075949146412313;0,105098970234394
121;1771959587018,504243;5;0,00802821293473244;0,107510522007942
122;1771959587079,939243;5;0,00866913422942162;0,106915570795536
123;1771959587143,266343;5;0,00926794391125441;0,108642272651196
124;1771959587207,748643;5;0,00988217070698738;0,110674820840359
125;1771959587268,153643;5;0,0101554039865732;0,112760700285435
126;1771959587331,479843;5;0,010203474201262;0,116316668689251
127;1771959587395,808243;5;0,010267891921103;0,116726770997047
128;1771959587457,453843;5;0,0105995861813426;0,116973072290421
129;1771959587519,016043;5;0,0110094277188182;0,117381609976292
130;1771959587582,972943;5;0,0120474388822913;0,118893191218376
131;1771959587644,857143;5;0,0127826845273376;0,122336946427822
132;1771959587708,292543;5;0,0127562377601862;0,12502209842205
133;1771959587769,304943;5;0,0122480308637023;0,126325160264969
134;1771959587831,665643;5;0,0120357135310769;0,127955004572868
135;1771959587894,957243;5;0,0128118665888906;0,129553869366646
136;1771959587957,649543;5;0,0139558641240001;0,131800383329391
137;1771959588022,755543;5;0,0145323341712356;0,134118542075157
138;1771959588081,991843;5;0,0146834030747414;0,134801104664803
139;1771959588144,951443;5;0,0147200850769877;0,136368691921234
140;1771959588207,340443;5;0,0147979613393545;0,137953817844391
141;1771959588269,572543;5;0,0154496049508452;0,139360755681992
142;1771959588332,397243;5;0,0162426996976137;0,141418009996414
143;1771959588395,191643;5;0,0168055966496468;0,142614305019379
144;1771959588457,733643;5;0,0169746167957783;0,143717527389526
145;1771959588520,232243;5;0,0172520224004984;0,1449905782938
146;1771959588583,059443;5;0,017736691981554;0,145897850394249
147;1771959588645,481843;5;0,0182074755430222;0,147507712244987
148;1771959588707,797543;5;0,0186497308313847;0,149731740355492
149;1771959588770,794843;5;0,0190550312399864;0,151518777012825
150;1771959588833,021743;5;0,0191296022385359;0,153181135654449
