Sample;X(ms) [15.02.2026 04:44:56 688 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
1;1771130689528,095796;0;0;0
2;1771130689591,767196;0;0;0
3;1771130689652,651596;0;0;0
4;1771130689716,232496;0;0;0
5;1771130689779,070096;0;0;0
6;1771130689841,784896;0;0;0
7;1771130689904,161296;0;0;0
8;1771130689966,807696;0;0;0
9;1771130690028,951296;0;0;0
10;1771130690092,154996;0;0;0
11;1771130690153,307596;0;0;0
12;1771130690216,616796;0;0;0
13;1771130690278,971196;0;0;0
14;1771130690340,229796;0;0;0
15;1771130690402,485196;0;0;0
16;1771130690465,323096;0;0;0
17;1771130690528,246996;0;0;0
18;1771130690589,675196;0;0;0
19;1771130690651,896196;0;0;0
20;1771130690715,616396;0;0;0
21;1771130690777,038496;0;0;0
22;1771130690839,264496;0;0;0
23;1771130690901,752096;0;0;0
24;1771130690967,004296;0;0;0
25;1771130691027,042096;0;0;0
26;1771130691089,046696;0;0;0
27;1771130691152,025096;0;0;0
28;1771130691217,175696;0;0;0
29;1771130691276,727696;0;0;0
30;1771130691338,950596;0;0;0
31;1771130691401,878796;0;0;0
32;1771130691464,224196;0;0;0
33;1771130691526,099996;0;0;0
34;1771130691588,248296;0;0;0
35;1771130691652,749896;0;0;0
36;1771130691717,086596;0;0;0
37;1771130691778,269196;0;0;0
38;1771130691838,671296;0;0;0
39;1771130691901,463396;0;0;0
40;1771130691964,586696;0;0;0
41;1771130692030,998196;0;0;0
42;1771130692090,363696;0;0;0
43;1771130692151,666296;0;0;0
44;1771130692213,419396;0;0;0
45;1771130692276,783296;0;0;0
46;1771130692340,509496;0;0;0
47;1771130692400,959096;0;0;0
48;1771130692462,688696;0;0;0
49;1771130693376,995196;0;0;0
50;1771130693438,126996;0;0;0
51;1771130693500,790596;0;0;0
52;1771130693582,020596;0;0;0
53;1771130693625,401596;0;0;0
54;1771130693687,662196;0;0;0
55;1771130693750,146396;0;0;0
56;1771130693814,837196;0;0;0
57;1771130693875,300696;0;0;0
58;1771130693937,165296;0;0;0
