Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
0;1771129119552,400826;0;0;0
1;1771129119615,306826;0;0;0
2;1771129119677,730926;0;0;0
3;1771129119744,289026;0;0;0
4;1771129119801,998926;0;0;0
5;1771129119865,334326;0;0;0
6;1771129119927,966026;0;0;0
7;1771129119989,287526;0;0;0
8;1771129120051,551626;0;0;0
9;1771129120113,835926;0;0;0
10;1771129120175,943526;0;0;0
11;1771129120240,284826;0;0;0
12;1771129120300,634526;0;0;0
13;1771129120364,709626;0;0;0
14;1771129120426,594626;0;0;0
15;1771129120487,598126;0;0;0
16;1771129120550,201126;0;0;0
17;1771129120612,545826;0;0;0
18;1771129120674,744126;0;0;0
19;1771129120737,675726;0;0;0
20;1771129120800,032426;0;0;0
21;1771129120862,308626;0;0;0
22;1771129120926,418926;0;0;0
23;1771129120987,768026;0;0;0
24;1771129121050,194026;0;0;0
25;1771129121111,813726;0;0;0
26;1771129121174,224026;0;0;0
27;1771129121236,581426;0;0;0
28;1771129121300,380926;0;0;0
29;1771129121362,227226;0;0;0
30;1771129121423,362326;0;0;0
31;1771129121486,239926;0;0;0
32;1771129121548,736426;0;0;0
33;1771129121611,549626;0;0;0
34;1771129121673,516926;0;0;0
35;1771129121736,002126;0;0;0
36;1771129121798,427026;0;0;0
37;1771129121861,515226;0;0;0
38;1771129121923,263926;0;0;0
39;1771129121993,481226;0;0;0
40;1771129122050,913326;0;0;0
41;1771129122112,358226;0;0;0
42;1771129122174,072226;0;0;0
43;1771129122236,888126;0;0;0
44;1771129122299,696426;0;0;0
45;1771129122362,155626;0;0;0
46;1771129122423,828026;0;0;0
47;1771129122485,928126;0;0;0
48;1771129122548,516626;0;0;0
49;1771129122612,078926;0;0;0
50;1771129122673,253426;0;0;0
51;1771129122735,724026;0;0;0
52;1771129122798,949826;0;0;0
53;1771129122860,491826;0;0;0
54;1771129122922,510126;0;0;0
55;1771129122989,464726;0;0;0
56;1771129123050,256726;0;0;0
57;1771129123112,463926;0;0;10
58;1771129123174,455526;0;0;4,1349048614502
59;1771129123237,369626;0;0;4,13720989227295
60;1771129123299,610826;0;0;4,1395149230957
61;1771129123362,554626;0;0;4,14181995391846
62;1771129123423,994026;0;0;4,14412498474121
63;1771129123487,174626;0;0;4,14643001556396
64;1771129123549,697826;0;0;4,14873504638672
65;1771129123612,547026;0;0;4,15103960037231
66;1771129123674,509726;0;0;4,15334463119507
67;1771129123737,007626;0;0;4,15564966201782
68;1771129123800,010726;0;0;4,15795469284058
69;1771129123863,017826;0;0;4,16025972366333
70;1771129123924,585226;0;0;4,16256475448608
71;1771129123988,995026;0;0;4,16486978530884
72;1771129124050,344126;0;0;4,16717481613159
73;1771129124112,778826;0;0;4,16947984695435
74;1771129124174,494126;0;0;4,1717848777771
75;1771129124236,983226;0;0;4,17408990859985
76;1771129124300,121326;0;0;4,17639493942261
77;1771129124362,109626;0;0;4,17869997024536
78;1771129124425,814026;0;4,76091334324774E-13;4,18100500106812
79;1771129124487,371426;0;1,85099130467492E-10;4,18331003189087
80;1771129124549,462726;0;6,50435154625484E-08;4,18561506271362
81;1771129124612,505626;0;1,23037461889908E-05;4,18791961669922
82;1771129124674,420926;0;0,0001302094606217;4,19022464752197
83;1771129124736,745126;0;0,000481436058180407;4,19252967834473
84;1771129124799,523826;0;0,00376236578449607;4,19483470916748
85;1771129124862,504126;0;0,0188431739807129;4,19713973999023
86;1771129124923,690126;0;0,0298435818403959;4,19944477081299
87;1771129124989,469226;0;0,0281393583863974;4,20174980163574
88;1771129125052,219226;0;0,00835363939404488;4,2040548324585
89;1771129125115,091626;0;0,0118390033021569;4,20635986328125
90;1771129125176,991126;0;0,0264787543565035;4,208664894104
91;1771129125240,843626;0;0,0293825529515743;4,21096992492676
92;1771129125301,758626;0;0,0331358723342419;4,21327495574951
93;1771129125364,949026;0;0,0424381271004677;4,21557998657227
94;1771129125426,592326;0;0,0338641367852688;4,21788501739502
95;1771129125489,176226;0;0,0217640250921249;4,22019004821777
96;1771129125565,854426;0;0,0325324907898903;4,22249507904053
97;1771129125614,472626;0;0,0375020764768124;4,22479963302612
98;1771129125683,919826;0;0,0328834019601345;4,22710466384888
99;1771129125739,582926;0;0,0329095274209976;4,22940969467163
100;1771129125801,985026;2,19103120888291E-17;0,0350784547626972;4,23171472549438
101;1771129125864,744926;6,66763372013141E-15;0,0386620946228504;4,23401975631714
102;1771129125926,586326;4,80866648583378E-13;0,0392543449997902;4,23632478713989
103;1771129125989,711226;1,56339940993178E-11;0,0393134504556656;4,23862981796265
104;1771129126052,595326;3,15074133450111E-10;0,0429683811962605;4,2409348487854
105;1771129126113,987026;7,14755277186896E-09;0,0451919212937355;4,24323987960815
106;1771129126176,965726;9,16816986773483E-08;0,0497310794889927;4,24534893035889
107;1771129126240,917226;7,87366161603131E-07;0,0502057336270809;4,24677038192749
108;1771129126302,407726;2,43699423663202E-06;0,0519658625125885;4,24740552902222
109;1771129126364,255426;1,00435090644169E-05;0,0586824044585228;4,23989629745483
110;1771129126426,113026;3,5451834264677E-05;0,0589999295771122;4,21294260025024
111;1771129126488,734526;0,000103716971352696;0,054602138698101;4,14462566375732
112;1771129126551,979426;0,000255867606028914;0,0540845468640327;4,0085563659668
113;1771129126615,470926;0,000517464533913881;0,0573224984109402;3,83016300201416
114;1771129126676,755026;0,000824120244942605;0,0617450885474682;3,75733757019043
115;1771129126738,499226;0,00108552060555667;0,0670021027326584;3,83271479606628
116;1771129126801,770926;0,00121730600949377;0,0709709525108337;4,0472526550293
117;1771129126865,972826;0,00127086078282446;0,0612346939742565;4,17768621444702
118;1771129126925,976526;0,00139919039793313;0,0613212957978249;4,05677890777588
119;1771129126990,539826;0,00170280388556421;0,065300740301609;3,77020454406738
120;1771129127052,705226;0,00212987395934761;0,0676164627075195;3,56803607940674
121;1771129127114,139926;0,00248559541068971;0,0693738609552383;3,68596792221069
122;1771129127177,659026;0,00265002553351223;0,0744705498218536;4,00152397155762
123;1771129127240,830026;0,00271465070545673;0,0717193260788918;4,16742134094238
124;1771129127304,155726;0,00283502019010484;0,0709122642874718;4,07765340805054
125;1771129127365,935326;0,00301336450502276;0,0755184665322304;3,98412322998047
126;1771129127428,575426;0,00329793174751103;0,0802460983395576;3,81091141700745
127;1771129127490,849326;0,00354667333886027;0,0791546627879143;3,8709762096405
128;1771129127553,485526;0,00372397690080106;0,0809490904211998;3,98974013328552
