Sample;X(ms) [20.02.2026 02:00:21 036 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
0;1771552817094,771859;0,0642569214105606;0,0642569214105606;10;0;0
1;1771552817157,720459;0,0544069781899452;0,0544069781899452;10;0;0
2;1771552817219,375459;-0,058846440166235;-0,058846440166235;10;0;0
3;1771552817282,300559;0,0790408998727798;0,0790408998727798;10;0;0
4;1771552817344,313259;0,0810125470161438;0,0810125470161438;10;0;0
5;1771552817407,071359;-0,0426732003688812;-0,0426732003688812;10;0;0
6;1771552817469,806559;-0,00932273920625448;-0,00932273920625448;10;0;0
7;1771552817532,460559;-0,09419135004282;-0,09419135004282;10;0;0
8;1771552817594,743559;-0,0610310137271881;-0,0610310137271881;10;0;0
9;1771552817657,596459;0,0713009387254715;0,0713009387254715;10;0;0
10;1771552817720,322359;-0,00832073669880629;-0,00832073669880629;10;0;0
11;1771552817782,649759;-0,0143289035186172;-0,0143289035186172;10;0;0
12;1771552817845,330459;0,0203001145273447;0,0203001145273447;10;0;0
13;1771552817907,765959;0,0395348072052002;0,0395348072052002;10;0;0
14;1771552817970,125059;-0,0675708279013634;-0,0675708279013634;10;0;0
15;1771552818032,624259;-0,072796642780304;-0,072796642780304;10;0;0
16;1771552818095,257559;0,0012020468711853;0,0012020468711853;10;0;0
17;1771552818158,083159;0,0863788053393364;0,0863788053393364;10;0;0
18;1771552818221,320859;0,0340733900666237;0,0340733900666237;10;0;0
19;1771552818283,731059;-0,0906419456005096;-0,0906419456005096;10;0;0
20;1771552818345,920159;0,0927575975656509;0,0927575975656509;10;0;0
21;1771552818408,497659;-0,0424456298351288;-0,0424456298351288;10;0;0
22;1771552818472,327859;0,0373686552047729;0,0373686552047729;10;0;0
23;1771552818534,287059;0,0204307194799185;0,0204307194799185;10;0;0
24;1771552818596,241659;-0,0874538719654083;-0,0874538719654083;10;0;0
25;1771552818658,481459;-0,0962608084082603;-0,0962608084082603;10;0;0
26;1771552818721,226859;0,0336034409701824;0,0336034409701824;10;0;0
27;1771552818784,092359;-0,0829388648271561;-0,0829388648271561;10;0;0
28;1771552818847,142759;0,0850191116333008;0,0850191116333008;10;0;0
29;1771552818910,091259;-0,0317877233028412;-0,0317877233028412;10;0;0
30;1771552818972,026959;-0,0212103016674519;-0,0212103016674519;10;0;0
31;1771552819034,662459;0,0979160591959953;0,0979160591959953;10;0;0
32;1771552819097,059959;0,0160403847694397;0,0160403847694397;10;0;0
33;1771552819159,679959;0,00435389298945665;0,00435389298945665;10;0;0
34;1771552819221,939059;-0,064072921872139;-0,064072921872139;10;0;0
35;1771552819287,182559;0,0890432745218277;0,0890432745218277;10;0;0
36;1771552819346,703859;-0,074779137969017;-0,074779137969017;10;0;0
37;1771552819409,680159;0,0236699115484953;0,0236699115484953;10;0;0
38;1771552819472,171059;-0,0608004927635193;-0,0608004927635193;10;0;0
39;1771552819535,270559;0,032122265547514;0,032122265547514;10;0;0
40;1771552819597,161459;0,0170633792877197;0,0170633792877197;10;0;0
41;1771552819659,716159;0,0143908858299255;0,0143908858299255;10;0;0
42;1771552819722,482059;-0,0217885207384825;-0,0217885207384825;10;0;0
43;1771552819785,137659;0,0656358599662781;0,0656358599662781;10;0;0
44;1771552819847,400059;-0,0497043803334236;-0,0497043803334236;10;0;0
45;1771552819910,208059;0,0641589164733887;0,0641589164733887;10;0;0
46;1771552819972,899459;-0,0173796843737364;-0,0173796843737364;10;0;0
47;1771552820035,651159;0,0375222936272621;0,0375222936272621;10;0;0
48;1771552820097,896859;-0,0642844811081886;-0,0642844811081886;10;0;0
49;1771552820161,136959;0,0354810021817684;0,0354810021817684;10;0;0
50;1771552820223,485459;-0,0742215290665627;-0,0742215290665627;10;0;0
51;1771552820285,987859;-0,0842990130186081;-0,0842990130186081;10;0;0
52;1771552820348,285459;0,0462561622262001;0,0462561622262001;10;0;0
